Variable,Coeficiente
maximum_maximum_nights,1621077.7772697003
maximum_nights_avg_ntm,93552.82851062519
property_type_Castle,1288.0040390104623
property_type_Private room in tent,1093.6326475469177
property_type_Entire home/apt,951.0473873707147
property_type_Room in serviced apartment,678.1487154019924
estimated_revenue_l365d,500.2486672295661
property_type_Private room in dome,485.32108204126416
property_type_Entire villa,478.29147536105665
property_type_Private room in yurt,370.0015184760432
property_type_Private room in tower,364.5739704916682
property_type_Private room in lighthouse,363.0383451354087
property_type_Room in boutique hotel,344.92970310868986
property_type_Room in hotel,328.89340904162236
property_type_Room in bed and breakfast,311.04615757323336
room_type_Entire home/apt,293.2100418601185
property_type_Shared room in condo,287.2587518482178
neighbourhood_cleansed_Iztacalco,240.1507668397644
availability_90,237.39560293965104
neighbourhood_cleansed_Venustiano Carran...,219.19072060490362
neighbourhood_cleansed_Cuauhtémoc,212.97561251898878
neighbourhood_cleansed_Miguel Hidalgo,202.07741440545942
neighbourhood_cleansed_Gustavo A. Madero,197.89705116865662
property_type_Entire home,197.27380314796028
property_type_Private room in villa,142.6588445801608
property_type_Room in casa particular,139.53944193949224
property_type_Room in aparthotel,134.5894777420326
property_type_Private room in hut,134.09072301802644
accommodates,123.781642831589
room_type_Private room,107.83234600594733
property_type_Private room in loft,94.55072736745933
host_response_time_within an hour,92.89756254618987
property_type_Private room in hostel,86.29473891334783
property_type_Entire cabin,82.5702417424618
property_type_Entire townhouse,74.9780498591499
neighbourhood_cleansed_Milpa Alta,73.2866796799924
property_type_Private room in shipping c...,67.32450587146195
host_response_time_within a few hours,55.809234176413156
property_type_Entire place,46.20552539624305
bedrooms,45.78422730819691
property_type_Shared room in casa partic...,45.500594142711634
host_total_listings_count,45.32568438071341
availability_30,42.37352339863517
host_acceptance_rate,36.84268777193341
property_type_Shared room in rental unit,35.90490284388943
review_scores_cleanliness,35.06880790157129
property_type_Entire serviced apartment,34.472020672285
review_scores_rating,33.18815923066719
host_response_time_within a day,32.34968118718825
property_type_Entire vacation home,29.674321603414683
review_scores_location,27.866005356889218
number_of_reviews_ltm,27.257327408981354
host_is_superhost,25.601213050301272
minimum_nights,24.34095036482808
neighbourhood_cleansed_Benito Juárez,21.122342454618774
property_type_Entire rental unit,14.21730496827513
instant_bookable,14.136819478764664
property_type_Shared room in hostel,13.050707973598037
property_type_Entire condo,11.025431762303924
property_type_Private room in guest suit...,10.07212567710667
property_type_Shared room in loft,9.968610633111894
property_type_Shared room in hotel,5.643393665355688
review_scores_accuracy,4.421071446190066
number_of_reviews,1.5767830782451426
has_availability,8.08400867882142e-05
availability_365,-0.23592398872438025
minimum_nights_avg_ntm,-0.7295575196211477
neighbourhood_cleansed_Azcapotzalco,-0.840205559664355
number_of_reviews_ly,-2.3161345990425417
property_type_Private room in earthen ho...,-3.313532215189298
